Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     15.8163	     15.8163	      6.8500	2.7.2018	7.50.13 PM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.685138	  0.015023	 30.046361	  0.013441	  0.548400	  7.370902	 71.611214	 14.741805	  4.792150	3836.411270			
   												
Vmeas       	Imeas       											
  0.698950	 -0.003203											
  0.685400	  0.000045											
  0.671850	  0.002894											
  0.658300	  0.005258											
  0.644750	  0.007220											
  0.631200	  0.008809											
  0.617700	  0.010088											
  0.604150	  0.011137											
  0.590600	  0.011936											
  0.577050	  0.012560											
  0.563500	  0.013051											
  0.550000	  0.013418											
  0.536450	  0.013714											
  0.522900	  0.013940											
  0.509350	  0.014135											
  0.495800	  0.014297											
  0.482250	  0.014418											
  0.468750	  0.014504											
  0.455200	  0.014572											
  0.441650	  0.014660											
  0.428100	  0.014713											
  0.414550	  0.014766											
  0.401000	  0.014791											
  0.387500	  0.014813											
  0.373950	  0.014829											
  0.360400	  0.014855											
  0.346850	  0.014885											
  0.333300	  0.014931											
  0.319800	  0.014940											
  0.306250	  0.014949											
  0.292700	  0.014948											
  0.279150	  0.014957											
  0.265600	  0.014961											
  0.252050	  0.014964											
  0.238550	  0.014962											
  0.225000	  0.014963											
  0.211450	  0.014960											
  0.197900	  0.014973											
  0.184350	  0.014978											
  0.170800	  0.014980											
  0.157300	  0.014976											
  0.143750	  0.014975											
  0.130200	  0.014982											
  0.116650	  0.014990											
  0.103100	  0.014999											
  0.089600	  0.015001											
  0.076050	  0.014998											
  0.062500	  0.015025											
  0.048950	  0.015025											
  0.035400	  0.015019											
  0.021850	  0.015022											
  0.008350	  0.015032											
 -0.005200	  0.015030											
 -0.018750	  0.015019											
 -0.032300	  0.015027											
 -0.045850	  0.015025											
 -0.059400	  0.015007											
 -0.072900	  0.015024											
 -0.086450	  0.015065											
 -0.100000	  0.015068											
