Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     12.3734	     12.3734	      6.9000	2.7.2018	8.36.42 PM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.712172	  0.015122	 30.243080	  0.013488	  0.579092	  7.810940	 72.530779	 15.621880	  4.438868	4298.776519			
   												
Vmeas       	Imeas       											
  0.726650	 -0.003704											
  0.712650	  0.000040											
  0.698650	  0.003193											
  0.684650	  0.005760											
  0.670600	  0.007831											
  0.656600	  0.009424											
  0.642600	  0.010690											
  0.628600	  0.011627											
  0.614600	  0.012338											
  0.600550	  0.012891											
  0.586550	  0.013338											
  0.572550	  0.013653											
  0.558550	  0.013890											
  0.544500	  0.014073											
  0.530500	  0.014226											
  0.516500	  0.014356											
  0.502500	  0.014451											
  0.488500	  0.014529											
  0.474450	  0.014594											
  0.460450	  0.014664											
  0.446450	  0.014721											
  0.432450	  0.014768											
  0.418400	  0.014799											
  0.404400	  0.014856											
  0.390400	  0.014887											
  0.376400	  0.014911											
  0.362350	  0.014934											
  0.348350	  0.014965											
  0.334350	  0.014980											
  0.320350	  0.014991											
  0.306350	  0.014991											
  0.292300	  0.015005											
  0.278300	  0.015008											
  0.264300	  0.015004											
  0.250300	  0.015013											
  0.236250	  0.015016											
  0.222250	  0.015013											
  0.208250	  0.015050											
  0.194250	  0.015063											
  0.180250	  0.015086											
  0.166200	  0.015086											
  0.152200	  0.015089											
  0.138200	  0.015098											
  0.124200	  0.015104											
  0.110150	  0.015106											
  0.096150	  0.015094											
  0.082150	  0.015094											
  0.068150	  0.015109											
  0.054100	  0.015107											
  0.040100	  0.015116											
  0.026100	  0.015128											
  0.012100	  0.015133											
 -0.001900	  0.015135											
 -0.015950	  0.015118											
 -0.029950	  0.015123											
 -0.043950	  0.015123											
 -0.057950	  0.015130											
 -0.072000	  0.015131											
 -0.086000	  0.015138											
 -0.100000	  0.015145											
