Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.4850	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     15.8163	     15.8163	      6.8000	2.7.2018	7.57.55 PM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.698003	  0.015739	 31.478431	  0.013972	  0.550806	  7.695857	 70.051339	 15.391714	  4.910196	2985.130095			
   												
Vmeas       	Imeas       											
  0.712300	 -0.003219											
  0.698500	  0.000003											
  0.684750	  0.002808											
  0.671000	  0.005177											
  0.657200	  0.007150											
  0.643450	  0.008773											
  0.629700	  0.010099											
  0.615900	  0.011183											
  0.602150	  0.012043											
  0.588400	  0.012728											
  0.574600	  0.013275											
  0.560850	  0.013703											
  0.547100	  0.014066											
  0.533300	  0.014373											
  0.519550	  0.014603											
  0.505800	  0.014793											
  0.492000	  0.014942											
  0.478250	  0.015068											
  0.464450	  0.015178											
  0.450700	  0.015273											
  0.436950	  0.015338											
  0.423150	  0.015389											
  0.409400	  0.015433											
  0.395650	  0.015473											
  0.381850	  0.015512											
  0.368100	  0.015537											
  0.354350	  0.015560											
  0.340550	  0.015570											
  0.326800	  0.015590											
  0.313050	  0.015603											
  0.299250	  0.015615											
  0.285500	  0.015620											
  0.271750	  0.015638											
  0.257950	  0.015654											
  0.244200	  0.015655											
  0.230400	  0.015659											
  0.216650	  0.015670											
  0.202900	  0.015684											
  0.189100	  0.015680											
  0.175350	  0.015671											
  0.161600	  0.015676											
  0.147800	  0.015686											
  0.134050	  0.015687											
  0.120300	  0.015698											
  0.106500	  0.015697											
  0.092750	  0.015700											
  0.079000	  0.015711											
  0.065200	  0.015721											
  0.051450	  0.015738											
  0.037700	  0.015741											
  0.023900	  0.015739											
  0.010150	  0.015742											
 -0.003650	  0.015743											
 -0.017400	  0.015744											
 -0.031150	  0.015752											
 -0.044950	  0.015736											
 -0.058700	  0.015753											
 -0.072450	  0.015765											
 -0.086250	  0.015772											
 -0.100000	  0.015769											
