Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	      0.0000	     12.3734	     12.3734	      6.8990	2.7.2018	8.05.43 PM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.714109	  0.016053	 32.105032	  0.014080	  0.573541	  8.075371	 70.445759	 16.150741	  4.612103	1176.896810			
   												
Vmeas       	Imeas       											
  0.729200	 -0.003751											
  0.715150	 -0.000028											
  0.701100	  0.002904											
  0.687050	  0.005503											
  0.673000	  0.007609											
  0.658950	  0.009302											
  0.644900	  0.010666											
  0.630850	  0.011725											
  0.616800	  0.012537											
  0.602750	  0.013187											
  0.588650	  0.013687											
  0.574600	  0.014065											
  0.560550	  0.014372											
  0.546500	  0.014614											
  0.532450	  0.014812											
  0.518400	  0.014968											
  0.504350	  0.015102											
  0.490300	  0.015206											
  0.476250	  0.015299											
  0.462200	  0.015380											
  0.448150	  0.015443											
  0.434050	  0.015497											
  0.420000	  0.015559											
  0.405950	  0.015602											
  0.391900	  0.015615											
  0.377850	  0.015643											
  0.363800	  0.015691											
  0.349750	  0.015724											
  0.335700	  0.015747											
  0.321650	  0.015774											
  0.307600	  0.015782											
  0.293550	  0.015804											
  0.279450	  0.015810											
  0.265400	  0.015823											
  0.251350	  0.015832											
  0.237300	  0.015843											
  0.223250	  0.015853											
  0.209200	  0.015854											
  0.195150	  0.015862											
  0.181100	  0.015885											
  0.167050	  0.015920											
  0.153000	  0.015950											
  0.138950	  0.015957											
  0.124850	  0.015950											
  0.110800	  0.015971											
  0.096750	  0.015976											
  0.082700	  0.015989											
  0.068650	  0.015992											
  0.054600	  0.015984											
  0.040550	  0.015993											
  0.026500	  0.016005											
  0.012450	  0.016038											
 -0.001600	  0.016083											
 -0.015650	  0.016105											
 -0.029750	  0.016099											
 -0.043800	  0.016101											
 -0.057850	  0.016106											
 -0.071900	  0.016106											
 -0.085950	  0.016111											
 -0.100000	  0.016107											
