Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     12.3734	     12.3734	      6.9010	2.7.2018	8.15.59 PM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.725567	  0.016817	 33.634840	  0.013463	  0.580423	  7.814521	 64.042096	 15.629042	  4.701365	325.985704			
   												
Vmeas       	Imeas       											
  0.740650	 -0.003262											
  0.726400	  0.000048											
  0.712150	  0.002910											
  0.697900	  0.005307											
  0.683650	  0.007290											
  0.669400	  0.008896											
  0.655150	  0.010165											
  0.640900	  0.011165											
  0.626650	  0.011941											
  0.612400	  0.012541											
  0.598200	  0.013012											
  0.583950	  0.013397											
  0.569700	  0.013697											
  0.555450	  0.013958											
  0.541200	  0.014169											
  0.526950	  0.014354											
  0.512700	  0.014510											
  0.498450	  0.014652											
  0.484200	  0.014772											
  0.469950	  0.014893											
  0.455700	  0.015016											
  0.441450	  0.015116											
  0.427200	  0.015207											
  0.412950	  0.015288											
  0.398700	  0.015369											
  0.384450	  0.015440											
  0.370200	  0.015508											
  0.355950	  0.015567											
  0.341700	  0.015643											
  0.327450	  0.015709											
  0.313200	  0.015781											
  0.298950	  0.015832											
  0.284700	  0.015888											
  0.270450	  0.015938											
  0.256200	  0.015999											
  0.241950	  0.016051											
  0.227700	  0.016108											
  0.213450	  0.016154											
  0.199200	  0.016197											
  0.184950	  0.016242											
  0.170700	  0.016284											
  0.156450	  0.016335											
  0.142200	  0.016379											
  0.128000	  0.016411											
  0.113750	  0.016454											
  0.099500	  0.016514											
  0.085250	  0.016566											
  0.071000	  0.016613											
  0.056750	  0.016658											
  0.042500	  0.016703											
  0.028250	  0.016755											
  0.014000	  0.016805											
 -0.000250	  0.016837											
 -0.014500	  0.016873											
 -0.028750	  0.016906											
 -0.043000	  0.016954											
 -0.057250	  0.016996											
 -0.071500	  0.017021											
 -0.085750	  0.017054											
 -0.100000	  0.017087											
