Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     19.7643	     19.7643	      6.8510	5.17.2018	11.38.38 AM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.742227	  0.014697	 29.393331	  0.012595	  0.595906	  7.505380	 68.804566	 15.010760	  4.856075	2862.288338			
   												
Vmeas       	Imeas       											
  0.757600	 -0.003655											
  0.743050	  0.000000											
  0.728500	  0.002977											
  0.714000	  0.005353											
  0.699450	  0.007213											
  0.684900	  0.008657											
  0.670400	  0.009762											
  0.655850	  0.010640											
  0.641300	  0.011308											
  0.626750	  0.011823											
  0.612250	  0.012231											
  0.597700	  0.012561											
  0.583150	  0.012849											
  0.568650	  0.013094											
  0.554100	  0.013302											
  0.539550	  0.013490											
  0.525000	  0.013634											
  0.510500	  0.013759											
  0.495950	  0.013885											
  0.481400	  0.013985											
  0.466900	  0.014068											
  0.452350	  0.014145											
  0.437800	  0.014196											
  0.423300	  0.014247											
  0.408750	  0.014303											
  0.394200	  0.014355											
  0.379650	  0.014395											
  0.365150	  0.014425											
  0.350600	  0.014429											
  0.336050	  0.014444											
  0.321550	  0.014493											
  0.307000	  0.014527											
  0.292450	  0.014544											
  0.277900	  0.014556											
  0.263400	  0.014566											
  0.248850	  0.014581											
  0.234300	  0.014590											
  0.219800	  0.014594											
  0.205250	  0.014610											
  0.190700	  0.014624											
  0.176150	  0.014630											
  0.161650	  0.014638											
  0.147100	  0.014645											
  0.132550	  0.014651											
  0.118050	  0.014673											
  0.103500	  0.014679											
  0.088950	  0.014671											
  0.074400	  0.014682											
  0.059900	  0.014682											
  0.045350	  0.014689											
  0.030800	  0.014712											
  0.016300	  0.014698											
  0.001750	  0.014700											
 -0.012800	  0.014699											
 -0.027300	  0.014690											
 -0.041850	  0.014704											
 -0.056400	  0.014720											
 -0.070950	  0.014724											
 -0.085450	  0.014720											
 -0.100000	  0.014702											
