Sample Area  	Current Limit  	Bias Dir.        	Num Swp Pts	GPIB Addr      	Irrad. (suns)   	Max Rev. Bias	Ref. Temp      	Cell T (start)    	Cell T (end)   	Exposure (sec)	Date	Time
      0.5000	   1000.0000	      0.0000	     60.0000	     24.0000	      1.0000	      0.1000	     22.3460	     19.7643	     19.7643	      6.9000	5.18.2018	11.45.46 AM
   												
Voc (V)       	Isc (A)       	Jsc (mA/cm2)	Imax (A)      	Vmax (V)      	Pmax (mW)  	Fill Factor (%)	Efficiency (%)	R at Voc       	R at Isc       			
  0.715419	  0.015313	 30.626237	  0.012910	  0.548078	  7.075717	 64.587213	 14.151435	  5.177320	1639.575674			
   												
Vmeas       	Imeas       											
  0.730200	 -0.003302											
  0.716100	  0.000030											
  0.702050	  0.002715											
  0.688000	  0.004868											
  0.673900	  0.006576											
  0.659850	  0.007928											
  0.645750	  0.009003											
  0.631700	  0.009878											
  0.617600	  0.010603											
  0.603550	  0.011214											
  0.589500	  0.011724											
  0.575400	  0.012192											
  0.561350	  0.012584											
  0.547250	  0.012927											
  0.533200	  0.013245											
  0.519150	  0.013507											
  0.505050	  0.013742											
  0.491000	  0.013956											
  0.476900	  0.014136											
  0.462850	  0.014293											
  0.448750	  0.014426											
  0.434700	  0.014522											
  0.420650	  0.014620											
  0.406550	  0.014694											
  0.392500	  0.014764											
  0.378400	  0.014835											
  0.364350	  0.014893											
  0.350250	  0.014944											
  0.336200	  0.014981											
  0.322150	  0.015004											
  0.308050	  0.015028											
  0.294000	  0.015055											
  0.279900	  0.015072											
  0.265850	  0.015096											
  0.251800	  0.015112											
  0.237700	  0.015121											
  0.223650	  0.015129											
  0.209550	  0.015149											
  0.195500	  0.015171											
  0.181400	  0.015193											
  0.167350	  0.015205											
  0.153300	  0.015220											
  0.139200	  0.015230											
  0.125150	  0.015254											
  0.111050	  0.015268											
  0.097000	  0.015272											
  0.082900	  0.015262											
  0.068850	  0.015267											
  0.054800	  0.015280											
  0.040700	  0.015314											
  0.026650	  0.015331											
  0.012550	  0.015328											
 -0.001500	  0.015321											
 -0.015550	  0.015321											
 -0.029650	  0.015328											
 -0.043700	  0.015343											
 -0.057800	  0.015344											
 -0.071850	  0.015342											
 -0.085950	  0.015347											
 -0.100000	  0.015343											
